data	target	roc_auc_score	pr_auc_score
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35218	0.780952380952381	0.6660326086956522
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35236	0.8344155844155845	0.7202966766509771
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35348	0.952998776009792	0.7623053074791204
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35354	0.8378378378378378	0.5032679738562091
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35367	0.9120454545454546	0.5471744876581932
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35368	0.8929577464788732	0.43123859255157704
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35372	0.8396761133603239	0.6365621429458712
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35408	0.84	0.36547619047619045
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35462	0.9702517162471396	0.7861068056656686
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35498	0.9112554112554112	0.4104308390022676
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35916	0.66	0.4041666666666667
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P35968	0.9694444444444444	0.7384920634920634
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P36888	0.8761904761904762	0.6571428571428571
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P37231	0.8939393939393939	0.7788097695218439
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P40763	0.6935483870967742	0.13392857142857142
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P41143	0.7660377358490567	0.5721008403361344
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P41145	0.7341153470185728	0.4931034907628806
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P41595	0.9175007148984845	0.4719291474491326
ECFP4 fingerprints, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	P41743	0.7610350076103501	0.3281852339823354
