data	target	positive_counts	negative_counts	A:I_ratio	ML_model	num_trials	best_trial	tp(train)	fp(train)	fn(train)	tn(train)	tp	fp	fn	tn	balanced_accuracy(train)	balanced_accuracy	precision(train)	precision	recall(train)	recall	f1_score(train)	f1_score(validation)	f1_score	roc_auc_score(train)	roc_auc_score	mcc(train)	mcc	pr_auc_score(train)	pr_auc_score	time
Physicochemical properties	Q00535	15 (0.37%)	4085 (435733.33%)	0.0037	GradientBoosting	200	163	13	1	0	118	0	2	2	29	0.9957983193277312	0.4677419354838709	0.9285714285714286	0.0	1.0	0.0	0.962962962962963	0.44	0.0	0.9957983193277312	0.6612903225806452	0.959566728957882	-0.064516129032258	0.9285714285714286	0.1526315789473684	2.056031556924184
Physicochemical properties	Q00535	15 (0.37%)	4085 (435733.33%)	0.0037	XGBoost	200	83	9	3	4	116	0	2	2	29	0.8335488041370394	0.4677419354838709	0.75	0.0	0.6923076923076923	0.0	0.7199999999999999	0.36	0.0	0.8335488041370394	0.6129032258064516	0.6914380805705526	-0.064516129032258	0.5495337995337994	0.1454545454545454	8.944159789880116
Physicochemical properties	Q00653	38 (0.93%)	4062 (416889.47%)	0.0094	GradientBoosting	200	195	28	22	0	284	4	12	6	62	0.9640522875816994	0.6189189189189189	0.56	0.25	1.0	0.4	0.717948717948718	0.4586414565826331	0.3076923076923077	0.9640522875816994	0.7108108108108109	0.7209289577285013	0.1961473116959103	0.56	0.2588444676692571	2.554612890879313
Physicochemical properties	Q00653	38 (0.93%)	4062 (416889.47%)	0.0094	XGBoost	200	172	18	25	10	281	3	7	7	67	0.780578898225957	0.6027027027027027	0.4186046511627907	0.3	0.6428571428571429	0.3	0.5070422535211269	0.4193701723113488	0.3	0.780578898225957	0.7297297297297297	0.4643484581185608	0.2054054054054054	0.2990431097937017	0.2758309179007758	6.654996192455291
Physicochemical properties	Q01668	11 (0.27%)	4089 (446072.73%)	0.0027	GradientBoosting	200	23	7	7	1	81	2	3	1	19	0.8977272727272727	0.7651515151515151	0.5	0.4	0.875	0.6666666666666666	0.6363636363636364	0.4233333333333333	0.5	0.8977272727272727	0.7727272727272727	0.6229178176443524	0.4308202184276645	0.4479166666666667	0.6143790849673203	1.4957582592964171
Physicochemical properties	Q01668	11 (0.27%)	4089 (446072.73%)	0.0027	XGBoost	200	1	4	0	4	88	1	0	2	22	0.75	0.6666666666666666	1.0	1.0	0.5	0.3333333333333333	0.6666666666666666	0.4666666666666666	0.5	0.75	0.8939393939393939	0.6915640748081247	0.5527707983925666	0.5416666666666666	0.7666666666666666	8.57187466621399
Physicochemical properties	Q01959	63 (1.54%)	4037 (410107.94%)	0.0156	GradientBoosting	200	186	46	67	3	438	8	14	6	111	0.9030511214386744	0.7297142857142858	0.4070796460176991	0.3636363636363636	0.9387755102040816	0.5714285714285714	0.5679012345679012	0.4034848484848485	0.4444444444444444	0.9030511214386744	0.8119999999999999	0.5680353219277193	0.3788198721087576	0.3875715648388361	0.4967550822300078	4.971699555714925
Physicochemical properties	Q01959	63 (1.54%)	4037 (410107.94%)	0.0156	XGBoost	200	102	40	16	9	489	3	2	11	123	0.8923216811477066	0.5991428571428571	0.7142857142857143	0.6	0.8163265306122449	0.2142857142857142	0.7619047619047619	0.425079365079365	0.3157894736842105	0.8923216811477066	0.7937142857142857	0.7391070577179556	0.3204594249984894	0.5993358663733673	0.4225469534026423	27.71547360420227
Physicochemical properties	Q02156	10 (0.24%)	4090 (449900.0%)	0.0024	GradientBoosting	200	24	7	7	1	73	0	2	2	18	0.89375	0.45	0.5	0.0	0.875	0.0	0.6363636363636364	0.4577777777777777	0.0	0.89375	0.65	0.6189572748648392	-0.1	0.4488636363636363	0.238095238095238	1.7669679721196492
Physicochemical properties	Q02156	10 (0.24%)	4090 (449900.0%)	0.0024	XGBoost	200	6	6	7	2	73	1	2	1	18	0.83125	0.7	0.4615384615384615	0.3333333333333333	0.75	0.5	0.5714285714285714	0.2799999999999999	0.4	0.83125	0.65	0.5367518645543433	0.3350831266333564	0.3688811188811188	0.238095238095238	13.642818224430084
Physicochemical properties	Q02750	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	145	7	17	2	79	0	3	3	21	0.8003472222222222	0.4375	0.2916666666666667	0.0	0.7777777777777778	0.0	0.4242424242424242	0.2142857142857143	0.0	0.8003472222222221	0.6666666666666667	0.4004629629629629	-0.125	0.2458994708994709	0.1749851455733808	2.5415740927060444
Physicochemical properties	Q02750	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	2	2	0	7	96	0	0	3	24	0.6111111111111112	0.5	1.0	0.0	0.2222222222222222	0.0	0.3636363636363636	0.2	0.0	0.6111111111111112	0.5833333333333333	0.4551040991908594	0.0	0.2888888888888888	0.4385964912280701	3.608782430489858
Physicochemical properties	Q02763	12 (0.29%)	4088 (442866.67%)	0.0029	GradientBoosting	200	51	8	2	1	94	3	1	0	23	0.9340277777777776	0.9791666666666669	0.8	0.75	0.8888888888888888	1.0	0.8421052631578948	0.7377777777777778	0.8571428571428571	0.9340277777777778	1.0	0.8278327231656524	0.8477912478906585	0.7206349206349206	1.0	1.4014743606249491
Physicochemical properties	Q02763	12 (0.29%)	4088 (442866.67%)	0.0029	XGBoost	200	24	8	2	1	94	3	0	0	24	0.9340277777777776	1.0	0.8	1.0	0.8888888888888888	1.0	0.8421052631578948	0.6777777777777778	1.0	0.9340277777777778	1.0	0.8278327231656524	1.0	0.7206349206349206	1.0	8.48922297557195
Physicochemical properties	Q04206	38 (0.93%)	4062 (416889.47%)	0.0094	GradientBoosting	200	105	28	25	0	281	5	14	5	60	0.9591503267973857	0.6554054054054055	0.5283018867924528	0.2631578947368421	1.0	0.5	0.6913580246913581	0.3902711323763955	0.3448275862068966	0.9591503267973857	0.7027027027027027	0.6965198977321899	0.2405905125434084	0.5283018867924528	0.2352991922035833	1.4628248492876688
