data	safety_endpoint	roc_auc_score	pr_auc_score
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10010947	0.6390145801910508	0.2109376539402674
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034835	0.5529761904761905	0.20196738489666177
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10052223	0.38976377952755903	0.05920313407645905
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040030	0.5395161290322581	0.19940216564713092
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10007739	0.6205949656750572	0.2609120405664351
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042241	0.6081349206349206	0.1526097153807969
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023126	0.64593837535014	0.24720151244173744
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020583	0.6219205630970337	0.26512981635013394
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10059421	0.6504201680672268	0.17640748254807567
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048439	0.5616883116883117	0.24616161104540074
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048762	0.5405844155844156	0.24623979160197781
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10038712	0.6140056022408964	0.1585250767842928
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10021138	0.6973935155753338	0.16810767651342517
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10012431	0.5063559322033898	0.1484688204979081
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10038063	0.6722689075630253	0.317477591234532
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005654	0.656578947368421	0.27586585885565806
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10023848	0.5416666666666667	0.16671164556368945
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10043882	0.5876750700280112	0.2188749281814087
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10053920	0.5729977116704805	0.28177858905478226
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015958	0.5232815964523281	0.1637333358162243
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10042602	0.6570623238333856	0.3979172074630518
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10017885	0.6401617250673854	0.3897501935975057
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10028521	0.8048780487804879	0.22614925437174366
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035669	0.4932692307692308	0.2191922406883045
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020708	0.6252659574468085	0.4692242232084764
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022595	0.5815476190476191	0.1407217355604605
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10061941	0.7049512987012987	0.36989469271492736
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10070511	0.6255385820603212	0.2550807656973338
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10058854	0.5596638655462185	0.20757177452602404
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10053573	0.6209415584415584	0.3323720962605163
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10048777	0.5625790139064475	0.2666320591455505
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10052897	0.6007628734901462	0.14346097317570686
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050584	0.6289908256880734	0.265540353826267
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10062544	0.578327922077922	0.21430929885818945
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10035717	0.6494279176201373	0.2603506972776517
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10040882	0.6435381355932204	0.25295962181201354
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10008617	0.6631578947368422	0.28095672410686073
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005420	0.5794392523364486	0.2843536436280471
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10015967	0.41537324464153735	0.07593171360056444
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10009802	0.6871111111111111	0.15355226606769
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10058116	0.6484848484848486	0.4581578344981123
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10011224	0.671541057367829	0.15403843142527568
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10007556	0.6938215102974828	0.23177794977151706
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10034620	0.5964444444444444	0.11623942035745126
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10022086	0.5	0.022388059701492536
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10003246	0.5572033898305084	0.20167151301780228
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005746	0.5947368421052632	0.20148697504620677
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10020741	0.728	0.3931374631027409
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10030095	0.6168888888888889	0.1302631912643036
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10044034	0.6750700280112045	0.22895999826507935
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10005482	0.6370967741935485	0.1384444403432727
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10033647	0.6058320764203118	0.20928177880743182
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10058648	0.7686781609195402	0.40356486696122246
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10025082	0.6703621581670363	0.13136254107301756
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10063560	0.5036344755970923	0.28730376179206063
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10030041	0.5377604166666666	0.3685214690545181
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10031127	0.7500782962730974	0.4679584107436322
Cell Painting, RDKit 1D descriptors, Mordred descriptors, Physicochemical properties	10050256	0.6001984126984128	0.08452334041647011
